fat,calories,protein,rating,sodium,len_directions,len_ingredients,cluster
0.0,325.0,0.0,3.75,1.0,2,2,14
0.0,84.0,2.0,4.375,63.0,3,6,0
1.0,186.0,1.0,4.375,8.0,5,4,14
18.0,169.0,0.0,3.75,16.0,1,5,0
4.0,41.0,1.0,0.0,7.0,9,17,8
10.0,139.0,5.0,4.375,604.0,1,5,12
4.0,46.0,1.0,3.75,51.0,2,7,0
67.0,1030.0,91.0,5.0,2101.0,9,14,5
49.0,589.0,31.0,4.375,259.0,3,6,12
7.0,216.0,4.0,5.0,27.0,3,6,0
187.0,3809.0,91.0,4.375,2291.0,7,11,9
28.0,738.0,27.0,4.375,1699.0,6,18,5
16.0,300.0,3.0,4.375,216.0,3,7,0
0.0,41.0,0.0,4.375,1.0,3,2,14
19.0,223.0,2.0,1.25,4.0,5,4,11
38.0,576.0,34.0,4.375,325.0,2,7,12
28.0,249.0,1.0,3.75,89.0,1,6,0
10.0,364.0,16.0,4.375,2094.0,1,13,5
22.0,327.0,11.0,3.75,379.0,6,11,0
18.0,610.0,27.0,3.75,929.0,7,14,8
94.0,1961.0,250.0,5.0,9573.0,7,30,4
27.0,454.0,10.0,0.0,200.0,12,15,8
10.0,202.0,7.0,4.375,52.0,1,3,0
76.0,1401.0,40.0,3.125,2388.0,1,8,5
35.0,469.0,3.0,3.75,534.0,4,10,12
15.0,444.0,5.0,4.375,398.0,1,12,0
37.0,591.0,7.0,4.375,210.0,7,14,0
35.0,399.0,8.0,5.0,231.0,6,19,0
2.0,126.0,5.0,3.75,22.0,2,1,0
20.0,374.0,7.0,4.375,199.0,5,11,0
12.0,330.0,9.0,3.75,126.0,7,16,0
7.0,277.0,23.0,3.75,767.0,1,9,12
17.0,318.0,20.0,0.0,185.0,11,20,8
13.0,362.0,14.0,4.375,323.0,3,6,0
9.0,113.0,7.0,4.375,314.0,5,14,0
6.0,242.0,1.0,5.0,14.0,2,10,0
6.0,138.0,10.0,2.5,248.0,1,5,0
9.0,109.0,5.0,3.75,126.0,1,8,0
6.0,96.0,2.0,4.375,141.0,1,5,0
21.0,591.0,54.0,5.0,1735.0,2,19,5
0.0,4.0,0.0,4.375,25.0,2,3,14
72.0,981.0,15.0,4.375,667.0,4,14,5
28.0,514.0,10.0,4.375,1473.0,4,15,12
11.0,198.0,4.0,4.375,165.0,1,8,0
17.0,200.0,2.0,3.125,150.0,1,9,0
1.0,18.0,1.0,4.375,5.0,6,6,14
1.0,140.0,1.0,5.0,2156.0,3,10,11
4.0,136.0,1.0,5.0,55.0,11,14,8
2.0,180.0,4.0,5.0,45166.0,2,9,6
18.0,301.0,24.0,3.75,114.0,3,8,12
0.0,228.0,0.0,0.0,6.0,1,3,14
8.0,288.0,9.0,5.0,777.0,4,14,12
38.0,599.0,8.0,4.375,355.0,7,17,0
11.0,236.0,7.0,3.75,103.0,2,9,0
15.0,162.0,1.0,3.75,9.0,1,6,0
18.0,302.0,25.0,4.375,524.0,3,13,12
69.0,997.0,55.0,3.75,2019.0,4,11,5
26.0,502.0,5.0,4.375,231.0,5,20,0
27.0,530.0,20.0,4.375,655.0,3,11,12
16.0,234.0,3.0,0.0,99.0,4,5,11
64.0,889.0,63.0,4.375,1097.0,9,19,5
2.0,52.0,0.0,3.75,5.0,4,8,14
0.0,18.0,1.0,4.375,6.0,1,3,14
89.0,1275.0,110.0,4.375,1341.0,5,8,5
14.0,130.0,0.0,0.0,88.0,1,6,11
11.0,388.0,31.0,4.375,1203.0,3,17,12
21.0,291.0,4.0,5.0,179.0,4,5,0
230.0,2651.0,113.0,3.75,704.0,6,10,9
47.0,663.0,53.0,4.375,339.0,3,11,12
4.0,101.0,5.0,2.5,193.0,1,5,0
13.0,273.0,4.0,5.0,4.0,1,8,0
1.0,183.0,5.0,3.75,50.0,1,5,0
3.0,224.0,8.0,4.375,377.0,6,12,0
10.0,193.0,12.0,4.375,598.0,2,15,12
7.0,108.0,4.0,4.375,38.0,1,6,0
19.0,223.0,2.0,1.25,4.0,5,4,11
9.0,203.0,3.0,5.0,34.0,6,11,0
30.0,446.0,38.0,3.75,772.0,2,9,12
29.0,541.0,15.0,4.375,662.0,3,10,12
5.0,298.0,2.0,5.0,43.0,3,10,0
32.0,666.0,25.0,0.0,361.0,4,12,8
45.0,730.0,8.0,4.375,292.0,8,18,8
0.0,57.0,1.0,0.0,255.0,3,9,11
14.0,351.0,15.0,3.75,536.0,2,5,12
53.0,659.0,41.0,3.75,461.0,3,5,12
21.0,431.0,8.0,4.375,1218.0,3,8,12
16.0,292.0,10.0,3.75,1606.0,1,10,12
19.0,287.0,4.0,4.375,128.0,4,11,0
14.0,218.0,3.0,4.375,78.0,4,6,0
25.0,347.0,25.0,4.375,805.0,2,8,12
65.0,1454.0,112.0,4.375,3365.0,7,18,4
21.0,244.0,7.0,3.75,236.0,1,9,0
8.0,137.0,11.0,3.75,78.0,1,5,12
3.0,195.0,1.0,5.0,15.0,2,7,14
11.0,326.0,6.0,4.375,336.0,4,13,0
8.0,111.0,2.0,4.375,170.0,4,11,0
27.0,507.0,20.0,4.375,957.0,2,6,12
30.0,625.0,42.0,4.375,1642.0,4,13,5
43.0,766.0,36.0,4.375,1330.0,5,21,5
11.0,177.0,3.0,4.375,12.0,3,6,0
20.0,510.0,51.0,4.375,926.0,4,15,12
24.0,651.0,5.0,3.75,249.0,4,13,0
17.0,261.0,6.0,4.375,173.0,3,6,0
23.0,296.0,9.0,4.375,283.0,1,7,0
29.0,505.0,6.0,3.75,216.0,6,12,0
3.0,92.0,7.0,3.75,39.0,6,5,0
8.0,149.0,9.0,4.375,49.0,3,5,0
18.0,321.0,12.0,3.75,537.0,1,13,12
13.0,168.0,9.0,3.75,213.0,5,9,0
1.0,246.0,2.0,3.75,17.0,3,11,14
38.0,507.0,30.0,3.75,982.0,3,11,12
24.0,351.0,23.0,4.375,1826.0,2,11,5
28.0,639.0,35.0,5.0,1155.0,4,8,5
2.0,120.0,3.0,2.5,3339.0,1,3,11
267.0,3705.0,51.0,3.75,1469.0,5,7,9
9.0,349.0,5.0,4.375,212.0,6,15,0
12.0,320.0,17.0,3.75,370.0,3,11,12
53.0,659.0,41.0,3.75,461.0,3,5,12
4.0,200.0,24.0,4.375,577.0,5,11,12
19.0,312.0,4.0,5.0,214.0,5,16,0
47.0,512.0,14.0,4.375,562.0,3,10,12
5.0,88.0,3.0,3.75,191.0,3,13,0
41.0,636.0,31.0,3.75,1774.0,8,15,5
8.0,130.0,3.0,4.375,56.0,3,6,0
0.0,101.0,1.0,3.75,3.0,3,4,14
18.0,198.0,8.0,4.375,394.0,5,12,0
13.0,202.0,8.0,5.0,469.0,4,4,0
6.0,101.0,8.0,3.75,52.0,1,5,0
35.0,572.0,7.0,3.125,104.0,6,16,0
13.0,274.0,5.0,0.0,120.0,8,9,8
64.0,942.0,62.0,3.75,1446.0,3,11,5
0.0,80.0,0.0,3.75,6.0,10,8,8
9.0,284.0,0.0,5.0,11.0,1,9,0
4.0,75.0,3.0,5.0,204.0,10,24,8
25.0,313.0,7.0,4.375,22.0,3,6,0
20.0,464.0,48.0,5.0,7279.0,4,9,4
59.0,824.0,64.0,5.0,264.0,4,11,5
0.0,128.0,1.0,5.0,1.0,4,5,14
16.0,185.0,8.0,3.75,102.0,3,14,0
7.0,118.0,3.0,3.75,488.0,2,11,0
127.0,1386.0,54.0,4.375,3071.0,2,7,5
22.0,289.0,19.0,3.125,415.0,5,8,12
12.0,304.0,1.0,3.75,9.0,2,6,0
9.0,157.0,3.0,5.0,564.0,6,15,0
20.0,305.0,5.0,3.75,260.0,9,8,0
41.0,906.0,66.0,3.75,2194.0,2,10,5
37.0,601.0,24.0,4.375,1630.0,5,17,12
48.0,794.0,38.0,4.375,1400.0,7,17,5
18.0,440.0,3.0,0.0,228.0,8,18,8
50.0,798.0,59.0,4.375,1590.0,4,9,5
35.0,493.0,35.0,3.125,296.0,3,11,12
0.0,257.0,0.0,0.0,17.0,2,5,14
